,issue,title,arc,cover_date,href,artist,price,tagline,format,arc,characters,group
0,89,Public Enemy!,,November 1993,issue.php?ID=58487,Paul Martin Smith - 'PMS',US $ 1.25,None.,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Dr. Valerie Cooper (Marvel) Cyclops (Marvel)(03 - Scott Summers) Destiny (Marvel) (03 - Irene Adler) Forge (Marvel) Henry Peter Gyrich (Marvel) Mystique (Marvel) 
 
 Professor X (Marvel) Madelyne 'Maddie' Pryor (01 - Jean Grey clone) Cody Robbins Rogue (Marvel)(01 - Anna Marie Raven) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel)",x_men_1990
0,88,The Past... of Future Days,,October 1993,issue.php?ID=59302,Paul Martin Smith - 'PMS',US $ 1.25,Death Be Served,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"John Cheever Colossus (Marvel)(03 - Piotr Rasputin) Dr. Valerie Cooper (Marvel) Forge (Marvel) Mystique (Marvel) Naze Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) 
 
 Puff (Marvel) Rogue (Marvel)(01 - Anna Marie Raven) Selene (Marvel) Storm (Marvel)(01 - Ororo Munroe) Rachel Anne Summers (Marvel) Sunfire (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,87,He'll Never Make Me Cry,,September 1993,issue.php?ID=59301,Paul Martin Smith - 'PMS',US $ 1.25,Boys' Night Out,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Ariel (Marvel)(02 - Kitty Pryde) Colossus (Marvel)(03 - Piotr Rasputin) Dr. Valerie Cooper (Marvel) Juggernaut (Marvel)(01 - Cain Marko) Lockheed (Marvel) Magik (Marvel)(01 - Illyana Rasputin) 
 
 Mystique (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) Rogue (Marvel)(01 - Anna Marie Raven) Selene (Marvel) Storm (Marvel)(01 - Ororo Munroe) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,86,Madness,,August 1993,issue.php?ID=37832,Kerry GammillBob Wiacek,US $ 1.25,The Great Escape!,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Carol Susan Jane Danvers (Marvel) Joseph  Danvers Jr. Steve Danvers Contessa Valentina 'Val' Allegra de la Fontaine (Marvel) Nick Fury (Marvel)(01 - Nick Fury, Sr.) Magik (Marvel)(01 - Illyana Rasputin) Ms. Marvel (Marvel)(01 - Carol Danvers) 
 
 Madelyne 'Maddie' Pryor (01 - Jean Grey clone) Rogue (Marvel)(01 - Anna Marie Raven) Michael Rossi Sebastian Hiram Shaw (Marvel) Tessa (Marvel) White Queen (Marvel)(02 - Emma Frost)",x_men_1990
0,85,Tokyo Story,,July 1993,issue.php?ID=59300,Kerry GammillBob Wiacek,US $ 1.25,Dragon Slayers,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Colossus (Marvel)(03 - Piotr Rasputin) Cyclops (Marvel)(03 - Scott Summers) Robert Edward Kelly Amiko Kobayashi (Marvel) Lockheed (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) 
 
 Madelyne 'Maddie' Pryor (01 - Jean Grey clone) Puff (Marvel) Rogue (Marvel)(01 - Anna Marie Raven) Storm (Marvel)(01 - Ororo Munroe) Sunfire (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett) Mariko Yashida (Marvel)",x_men_1990
0,84,"Whose Life Is It, Anyway?",,June 1993,issue.php?ID=59299,Kerry GammillBob Wiacek,US $ 1.25,Storm Warnings,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Ariel (Marvel)(02 - Kitty Pryde) Colossus (Marvel)(03 - Piotr Rasputin) Cypher (Marvel)(01 - Doug Ramsey) Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) 
 
 Rogue (Marvel)(01 - Anna Marie Raven) Storm (Marvel)(01 - Ororo Munroe) White Queen (Marvel)(02 - Emma Frost) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,83,What Happened to Kitty?,,May 1993,issue.php?ID=59298,Joe Madureira - 'Joe Mad!'Dan Panosian - 'Judas Jones',US $ 1.25,The Bride of Caliban,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Ariel (Marvel)(02 - Kitty Pryde) Caliban (Marvel) Callisto (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Healer Jo (Morlocks) Leech (Marvel) Masque (Marvel)(01 - Morlocks) 
 
 Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) Illyana Nikolovna Rasputin Rogue (Marvel)(01 - Anna Marie Raven) Amanda Sefton (Marvel) Storm (Marvel)(01 - Ororo Munroe) Sunder (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,82,Hell Hath No Fury...,,April 1993,issue.php?ID=59297,Joe Madureira - 'Joe Mad!'Bob Wiacek,US $ 1.25,Warfare,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Ariel (Marvel)(02 - Kitty Pryde) Avalanche (Marvel)(01 - Dominic Szilard) Blob (Marvel) Callisto (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Destiny (Marvel) (03 - Irene Adler) Masque (Marvel)(01 - Morlocks) Mystique (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) 
 
 Professor X (Marvel) Pyro (Marvel)(01 - St. John Allerdyce) Roberta (Marvel) Rogue (Marvel)(01 - Anna Marie Raven) Amanda Sefton (Marvel) Storm (Marvel)(01 - Ororo Munroe) Sunder (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett)",x_men_1990
0,81,Sanction,,March 1993,issue.php?ID=59296,Joe Madureira - 'Joe Mad!'Bob Wiacek,US $ 1.25,Heads - -  - - You Lose!,Color;  Standard Comic IssueStory,Add/remove story arcs to this issueSynopsis: ,"Arcade (Marvel) Ariel (Marvel)(02 - Kitty Pryde) Avalanche (Marvel)(01 - Dominic Szilard) Blob (Marvel) Colossus (Marvel)(03 - Piotr Rasputin) Corsair (Marvel) Cyclops (Marvel)(03 - Scott Summers) Destiny (Marvel) (03 - Irene Adler) Havok (Marvel) Stevie Hunter (Marvel) 
 
 Lilandra (Marvel) Miss Locke (Marvel)(01 - original) Mystique (Marvel) Nightcrawler (Marvel)(01 - Kurt Wagner) Professor X (Marvel) Pyro (Marvel)(01 - St. John Allerdyce) Rogue (Marvel)(01 - Anna Marie Raven) Amanda Sefton (Marvel) Storm (Marvel)(01 - Ororo Munroe)",x_men_1990
0,80,Decisions,,February 1993,issue.php?ID=48857,John Romita Jr.,US $ 1.25,Jaws of Death!,Color;  Standard Comic Issue; 32 pagesStory,Add/remove story arcs to this issueSynopsis: ,"Caliban (Marvel) Callisto (Marvel) Dr. Valerie Cooper (Marvel) Cyclops (Marvel)(03 - Scott Summers) Henry Peter Gyrich (Marvel) 
 
 Masque (Marvel)(01 - Morlocks) Madelyne 'Maddie' Pryor (01 - Jean Grey clone) Sunder (Marvel) Wolverine (Marvel)(01 - James 'Logan' Howlett) Mariko Yashida (Marvel)",x_men_1990
